,tweetID,tweetText,tweetRetweetCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
16,916795862428168192,RT @Sophiemcneill: Winner of #NobelPrize2017 @nuclearban which was founded in #Australia says it has not been congratulated by Aussie PM @T…,12,Twitter for iPhone,2017-10-07 22:42:21,17173763,sparkii,crina b,2008-11-05 00:04:34,Senior Digital Producer/UXer. Former Greenpeace + MSF. I surf. I ride. I travel. I shoot (photos). Mama to Jarrah. Webby Award winner. Curator @GoodRefugeeNews.,1883,1950,Always will be Aboriginal Land,Sydney
23,916795346440691712,"RT @PaulJurak: Neon Pink Infusion
#Canberra #Visitcanberra #Australia #Canonaustralia https://t.co/iuA1pkIfRQ",5,Twitter for Android,2017-10-07 22:40:18,530980768,echidna_paw,Quasar Yes,2012-03-20 06:48:14,,1791,3530,,Sydney
53,916794063935774721,"RT @PaulJurak: Colossal Beginning 
#Canberra #Visitcanberra #Australia #Canonaustralia https://t.co/aQrSTiJfRO",3,Twitter for Android,2017-10-07 22:35:12,530980768,echidna_paw,Quasar Yes,2012-03-20 06:48:14,,1791,3530,,Sydney
56,916793835660877824,RT @Jackthelad1947: Well done to the thousands of people that joined the #StopAdani Big Day of Action across #Australia #auspol #qldpol  ht…,8,Twitter for Android,2017-10-07 22:34:18,99367063,BBBubby77,No Body,2009-12-25 21:57:38,Only I know the trouble you've seen....,751,903,,Sydney
66,916793269857734657,Fly away little birdie  #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/jqwj0lbu0Q,0,Instagram,2017-10-07 22:32:03,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
69,916793054891171840,Please don’t leaf me  #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/DPv1te0YwH,0,Instagram,2017-10-07 22:31:12,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
73,916792790004174849,Deep in the heart of the #BlueMountains is where nature comes alive ? ... thanks for the great pic Sam Thompson… https://t.co/OdxvyeNEzs,0,Hootsuite,2017-10-07 22:30:08,112571375,scenicworld_aus,Scenic World,2010-02-09 00:13:16,Home of the world's steepest passenger railway in the World Heritage listed Blue Mountains. Follow us for more info!,4806,4228,"Blue Mountains, Australia",Sydney
74,916792667215818752,A berry good dog  #billboard #billboardart #food #foodart #Sydney #Australia #travel #instacool… https://t.co/31WhwkUAr6,0,Instagram,2017-10-07 22:29:39,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
79,916792521929445377,"SYDNEY HARBOUR CRUISE WITH LDA....
#sydney #harbour #sydneyharbour #latin #dance #australia… https://t.co/pXG169O8ia",0,Instagram,2017-10-07 22:29:05,174803534,MCJaimeJesus,Jaime Jesus,2010-08-04 21:34:45,"Business owner, Latin Entertainer and professional dancer/instructor. ..",266,195,"Sydney, Australia",Sydney
143,916786740135907328,Cool cauli  #billboard #billboardart #food #foodart #Sydney #Australia #travel #instacool… https://t.co/uEBCKdnUB8,0,Instagram,2017-10-07 22:06:06,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
161,916785487167098880,RT @comradereddy: #Australian people say 'No To #Adani'.Against Adani's 'coal mine' project in #Australia https://t.co/XSlxuerJcn,3,Twitter for Android,2017-10-07 22:01:07,1349039863,itzsamya,Samyamoy,2013-04-13 11:44:17,IT professional-SAP Banking Consultant,295,266,Australia,Sydney
